metal,unit,year,mean,median,min,max,origin_var
Dysprosium,kg/MW,2015,2.51295,2.2,0.0516,11.6,ELECTRO_MOTOR
Neodymium,kg/MW,2015,10.38865385,7.5,3.4,36.5,ELECTRO_MOTOR
Dysprosium,kg/MW,2020,2.5,2.1,1.9,5.6,ELECTRO_MOTOR
Neodymium,kg/MW,2020,3.7,3.6,3.4,4.1,ELECTRO_MOTOR
Dysprosium,kg/MW,2030,1.433333333,1.4,1.3,1.6,ELECTRO_MOTOR
Neodymium,kg/MW,2030,2.933333333,2.9,2.7,3.2,ELECTRO_MOTOR
Dysprosium,kg/MW,2050,0.7,0.7,0.7,0.7,ELECTRO_MOTOR
Neodymium,kg/MW,2050,2.3,2.3,2.3,2.3,ELECTRO_MOTOR
Nickel,kg/MW,2020,403.5,403.5,377,430,W-on AG
Manganese,kg/MW,2020,780,780,780,780,W-on AG
Nickel,kg/MW,2020,340,340,340,340,W-on SG-E-DD
Manganese,kg/MW,2020,790,790,790,790,W-on SG-E-DD
Nickel,kg/MW,2020,403.5,403.5,377,430,W-on HTS-DD
Manganese,kg/MW,2020,780,780,780,780,W-on HTS-DD
Yttrium,kg/MW,2030,1,0.3,0.1,2.3,W-on HTS-DD
Dysprosium,kg/MW,2015,20.42704545,19.75,2,42,W-on SG-PM-DD
Neodymium,kg/MW,2015,172.0215909,182.5,45,246.5,W-on SG-PM-DD
Vanadium,kg/MW,2015,90.38,90.38,90.38,90.38,W-on SG-PM-DD
Dysprosium,kg/MW,2020,16.49285714,16.5,2,29.25,W-on SG-PM-DD
Neodymium,kg/MW,2020,139.8571429,162.5,34,180,W-on SG-PM-DD
Nickel,kg/MW,2020,387.4283333,376.785,111,663,W-on SG-PM-DD
Manganese,kg/MW,2020,301,80.5,32.5,790,W-on SG-PM-DD
Dysprosium,kg/MW,2030,10.925,9.6,6.5,18,W-on SG-PM-DD
Neodymium,kg/MW,2030,138,138.75,112,162.5,W-on SG-PM-DD
Dysprosium,kg/MW,2040,11,9,1,23,W-on SG-PM-DD
Neodymium,kg/MW,2040,120,120,27,140,W-on SG-PM-DD
Dysprosium,kg/MW,2050,11.05,11.85,6.5,14,W-on SG-PM-DD
Neodymium,kg/MW,2050,112.75,121.5,78,130,W-on SG-PM-DD
Dysprosium,kg/MW,2015,3.631666667,3.45,0.9,6.4,W-on SG-PM-MS
Neodymium,kg/MW,2015,33.30727273,38.35,6.2,49.6,W-on SG-PM-MS
Nickel,kg/MW,2015,565,610,376.6,663.4,W-on SG-PM-MS
Vanadium,kg/MW,2015,90.4,90.4,90.4,90.4,W-on SG-PM-MS
Dysprosium,kg/MW,2020,4.76,5.4,2.88,6,W-on SG-PM-MS
Neodymium,kg/MW,2020,41.13333333,40,32.4,51,W-on SG-PM-MS
Nickel,kg/MW,2020,440,440,440,440,W-on SG-PM-MS
Manganese,kg/MW,2020,304.3333333,80.5,32.5,800,W-on SG-PM-MS
Dysprosium,kg/MW,2030,2.25,2.25,1.6,2.9,W-on SG-PM-MS
Neodymium,kg/MW,2030,36,36,32,40,W-on SG-PM-MS
Dysprosium,kg/MW,2050,2.05,2.05,1.2,2.9,W-on SG-PM-MS
Neodymium,kg/MW,2050,32,32,32,32,W-on SG-PM-MS
